Instance,Category,Customers,Vehicles_Available,Greedy_Distance,Greedy_Lateness,Greedy_Vehicles_Used,Greedy_Time_s,NSGA2_Distance,NSGA2_Lateness,NSGA2_Idle,NSGA2_Unfairness,NSGA2_Vehicles_Used,NSGA2_OnTimeRate,NSGA2_Time_s,Known_Best_Distance,Known_Best_Vehicles
C101,C1,100,25,575.02,1091.79,10,0.004,601.22,70.02,35678.99,429.28,25,0.0,70.19,828.94,10
C102,C1,100,25,575.02,1091.79,10,0.004,599.34,70.99,35620.95,380.50,25,18.6,74.93,828.94,10
C105,C1,100,25,575.02,1023.81,10,0.004,545.10,38.11,35960.74,521.88,25,82.8,68.52,828.94,10
C201,C2,100,25,609.94,3077.21,3,0.004,5.78,0.00,37490.10,17.98,5,100.0,34.39,591.56,3
C202,C2,100,25,609.94,3077.21,3,0.004,9.50,0.00,37483.72,24.67,4,100.0,23.37,591.56,3
C205,C2,100,25,609.94,2814.64,3,0.005,19.45,67.32,37458.98,325.63,7,88.9,43.31,588.88,3
R101,R1,100,25,502.65,256.74,8,0.007,534.69,11.72,36583.38,100.92,25,0.0,91.65,1650.80,19
R102,R1,100,25,502.65,250.31,8,0.005,517.48,16.69,36612.90,129.12,25,15.8,94.06,1486.12,17
R105,R1,100,25,502.65,232.74,8,0.004,412.83,0.80,36792.28,92.86,25,98.8,79.29,1377.11,14
R201,R2,100,25,519.37,1345.83,2,0.005,24.17,0.00,37451.40,219.18,3,100.0,244.29,1252.37,4
R202,R2,100,25,519.37,1306.95,2,0.006,38.40,19.31,37407.84,103.37,2,90.0,417.09,1191.70,3
R205,R2,100,25,519.37,1210.76,2,0.002,27.13,29.83,37403.65,35.15,2,50.0,61.14,994.43,3
RC101,RC1,100,25,663.61,242.75,9,0.002,692.53,5.16,36312.81,84.26,25,94.8,40.82,1696.95,14
RC102,RC1,100,25,663.61,208.22,9,0.002,541.14,0.26,36572.33,126.63,25,98.8,46.20,1554.75,12
RC105,RC1,100,25,663.61,211.04,9,0.003,602.50,15.16,36467.14,133.87,25,66.7,44.93,1629.44,13
RC201,RC2,100,25,689.43,1410.88,2,0.003,60.00,168.83,37279.57,15.80,2,50.0,78.70,1406.94,4
RC202,RC2,100,25,689.43,1353.34,2,0.002,29.65,17.41,37428.85,71.01,3,83.3,117.61,1365.65,3
RC205,RC2,100,25,689.43,1382.69,2,0.002,76.36,281.29,37232.39,15.11,2,54.5,53.18,1297.65,4
